Date,Campaign,Campaign Type,Impressions,Clicks,Conversions,Revenue,Cost,Region,AdCreative
01/01/23,SnapChat,Retargeting,102704,1593,157,"$3,910.74","$2,101.08",East Midlands,CreativeC
01/01/23,YouTube,Retargeting,83904,1798,110,"$11,700.93","$6,955.66",East Midlands,CreativeC
01/01/23,TikTok,Prospecting,77023,2644,261,"$9,756.09","$1,471.76",North East,CreativeB
01/01/23,YouTube,Retargeting,34385,1570,42,"$4,341.76",$101.55,London,CreativeC
01/01/23,YouTube,Prospecting,78641,2731,11,"$8,860.43","$1,337.07",West Midlands,CreativeA
01/01/23,Instagram,Prospecting,30773,199,69,"$14,827.74",$790.21,Northern Ireland,CreativeC
01/01/23,TikTok,Prospecting,5975,1030,23,"$3,436.98","$4,396.73",Yorkshire and the Humber,CreativeA
01/01/23,TikTok,Prospecting,87179,1678,186,"$9,456.90","$3,296.35",North East,CreativeB
01/01/23,TikTok,Prospecting,70337,1279,185,"$12,905.36","$3,646.85",Scotland,CreativeC
01/01/23,YouTube,Retargeting,21580,1870,35,"$4,518.35","$4,888.27",East Midlands,CreativeC
01/01/23,SnapChat,Prospecting,109234,1957,7,"$13,557.76","$1,046.09",East of England,CreativeC
01/01/23,TikTok,Prospecting,25177,203,59,"$2,327.64","$4,071.92",East of England,CreativeA
01/01/23,YouTube,Retargeting,46373,1722,51,"$6,887.01","$2,484.94",South East,CreativeC
01/01/23,Instagram,Retargeting,116503,569,113,"$15,050.16",$325.87,Yorkshire and the Humber,CreativeC
01/01/23,SnapChat,Retargeting,53473,435,38,"$8,711.35","$2,761.98",South West,CreativeA
01/01/23,Instagram,Retargeting,30913,878,99,"$8,027.44","$4,460.01",West Midlands,CreativeB
01/01/23,SnapChat,Prospecting,12871,197,59,"$6,332.90","$1,749.13",London,CreativeC
01/01/23,YouTube,Retargeting,21822,2365,195,"$3,839.86","$5,228.07",South West,CreativeA
01/01/23,Facebook,Prospecting,12776,1801,203,"$5,437.52","$3,897.58",East Midlands,CreativeB
01/01/23,SnapChat,Retargeting,96501,1777,198,"$9,612.46","$7,797.06",North West,CreativeA
01/01/23,Instagram,Retargeting,44216,178,45,"$6,180.07","$3,082.45",Wales,CreativeB
01/01/23,YouTube,Retargeting,24103,3679,83,"$1,399.18","$3,361.80",South West,CreativeC
01/01/23,SnapChat,Retargeting,64327,73,128,"$2,891.13","$6,666.99",West Midlands,CreativeB
01/01/23,Facebook,Retargeting,76314,697,35,"$3,390.02",$112.41,Wales,CreativeA
01/01/23,Facebook,Prospecting,67078,63,237,"$7,914.52","$2,362.89",East of England,CreativeB
01/01/23,TikTok,Prospecting,55608,1849,66,"$10,816.55","$6,313.97",West Midlands,CreativeB
